,path,label
10675,VERSACE\WOMEN\BAGS\Shoulder Bags\Virtus Evening Bag\white\image_4.jpg,VERSACE-WOMEN-BAGS-Shoulder Bags-Virtus Evening Bag-white
671,Burberry_men\MEN\SHOES\Sneakers\Leather and House Check High-top Sneakers\OPTIC WHITE\image_0.jpg,Burberry_men-MEN-SHOES-Sneakers-Leather and House Check High-top Sneakers-OPTIC WHITE
7289,D_G\D&G\WOMEN\SHOES\Rainbow Lace\SLIPPERS IN LACE WITH CRYSTALS\GREY\image_2.jpg,D_G-D&G-WOMEN-SHOES-Rainbow Lace-SLIPPERS IN LACE WITH CRYSTALS-GREY
11517,VERSACE\WOMEN\SMALL LEATHER GOODS\Virtus Leather Pouch\brown\image_3.jpg,VERSACE-WOMEN-SMALL LEATHER GOODS-Virtus Leather Pouch-brown
7050,D_G\D&G\WOMEN\SHOES\DNA\ANKLE BOOTS IN STRETCH LACE AND GROSGRAIN\BLACK\image_3.jpg,D_G-D&G-WOMEN-SHOES-DNA-ANKLE BOOTS IN STRETCH LACE AND GROSGRAIN-BLACK
5797,D_G\D&G\WOMEN\BAGS\Devotion\MEDIUM MATELASSÉ NAPPA LEATHER DEVOTION BAG\GREEN\image_2.jpg,D_G-D&G-WOMEN-BAGS-Devotion-MEDIUM MATELASSÉ NAPPA LEATHER DEVOTION BAG-GREEN
12884,YSL\YSL\SACS\LOU\Lou sac caméra en cuir matelassé\NOIR\image_-1.jpg,YSL-YSL-SACS-LOU-Lou sac caméra en cuir matelassé-NOIR
4218,CHANEL WATCHES\__MACOSX\CHANEL WATCHES\Monsieur\._H4799-dos-0-3080-grey-nocrop-1589951311447.jpg,CHANEL WATCHES-__MACOSX-CHANEL WATCHES-Monsieur
1124,Chanel\Bag (v.2)\Boy handbag\Large boy handbag\Navy blue\navy_colour_chanel_boy_1549611431_ef1305040_progressive.jpg,Chanel-Bag (v.2)-Boy handbag-Large boy handbag-Navy blue
3197,CHANEL WATCHES\CHANEL WATCHES\J12\Black\7266186.jpg,CHANEL WATCHES-CHANEL WATCHES-J12-Black
7863,Givenchy\MEN\BAGS\CROSS-BODY BAGS\GIVENCHY DOWNTOWN FLAT CROSSBODY BAG IN NYLON\Black\BK5063K0S9001-02-02.jpg,Givenchy-MEN-BAGS-CROSS-BODY BAGS-GIVENCHY DOWNTOWN FLAT CROSSBODY BAG IN NYLON-Black
12886,YSL\YSL\SACS\LOU\Lou sac caméra en cuir matelassé\NOIR\image_1.jpg,YSL-YSL-SACS-LOU-Lou sac caméra en cuir matelassé-NOIR
6884,D_G\D&G\WOMEN\BELTS\LUXURY LEATHER DEVOTION BELT\RED\image_1.jpg,D_G-D&G-WOMEN-BELTS-LUXURY LEATHER DEVOTION BELT-RED
2333,Chanel\Bag (v.2)\Flap bag\Small flap bag\black 2\imaghges.jpg,Chanel-Bag (v.2)-Flap bag-Small flap bag-black 2
3060,CHANEL WATCHES\CHANEL WATCHES\Boyfriend\Boyfriend tweed\00pp-montre-chanel-boyfriend-tweed-en-acier.jpg,CHANEL WATCHES-CHANEL WATCHES-Boyfriend-Boyfriend tweed
181,Burberry_men\MEN\BAGS\Bum Bags\Leather Brummell Bum Bag\Cloud grey\image_3.jpg,Burberry_men-MEN-BAGS-Bum Bags-Leather Brummell Bum Bag-Cloud grey
1174,Chanel\Bag (v.2)\Boy handbag\medium boy handbag\Black\small-boy-chanel-handbag-black-calfskin-ruthenium-finish-metal-calfskin-ruthenium-finish-metal-packshot-alternative-a67085y0995394305-8812347097118.jpg,Chanel-Bag (v.2)-Boy handbag-medium boy handbag-Black
6068,D_G\D&G\WOMEN\BAGS\DG Amore\LARGE DG AMORE BAG IN MIXED MATERIALS\BROWN\image_1.jpg,D_G-D&G-WOMEN-BAGS-DG Amore-LARGE DG AMORE BAG IN MIXED MATERIALS-BROWN
1537,Chanel\Bag (v.2)\Chanel 19\Waist Bag\Pink\chanel-19-waist-bag-fuchsia-jersey-gold-tone-silver-tone-ruthenium-finish-metal-jersey-gold-tone-silver-tone-ruthenium-finish-metal-packshot-alternative-as1163b01904n5456-8821796470814.jpg,Chanel-Bag (v.2)-Chanel 19-Waist Bag-Pink
7485,D_G\D&G\WOMEN\SHOES\Sneakers\NS1 SLIP ON SNEAKERS IN MIXED MATERIALS\FUCHSIA\image_2.jpg,D_G-D&G-WOMEN-SHOES-Sneakers-NS1 SLIP ON SNEAKERS IN MIXED MATERIALS-FUCHSIA
6999,D_G\D&G\WOMEN\SHOES\DG Logo\JACQUARD SANDALS WITH BAROQUE D&G HEEL\BLACK\image_-1.jpg,D_G-D&G-WOMEN-SHOES-DG Logo-JACQUARD SANDALS WITH BAROQUE D&G HEEL-BLACK
559,Burberry_men\MEN\SHOES\Sandals\Leather Webb Sandals\Black\image_1.jpg,Burberry_men-MEN-SHOES-Sandals-Leather Webb Sandals-Black
3479,CHANEL WATCHES\CHANEL WATCHES\Monsieur\MonsieurdeChanelwatch-5.jpg,CHANEL WATCHES-CHANEL WATCHES-Monsieur
8491,Givenchy\MEN\WALLETS\GIVENCHY MEN WALLETS 16\Black\BK06021121001-02-03.jpg,Givenchy-MEN-WALLETS-GIVENCHY MEN WALLETS 16-Black
6933,D_G\D&G\WOMEN\SHOES\Devotion\MATELASSÉ NAPPA LEATHER DEVOTION SANDALS\WHITE\image_2.jpg,D_G-D&G-WOMEN-SHOES-Devotion-MATELASSÉ NAPPA LEATHER DEVOTION SANDALS-WHITE
2144,Chanel\Bag (v.2)\Flap bag\Medium flap bag\white\img_2448_3.jpg,Chanel-Bag (v.2)-Flap bag-Medium flap bag-white
10613,VERSACE\WOMEN\BAGS\Clutch Bags\Virtus Quilted Evening Bag\blue\image_0.jpg,VERSACE-WOMEN-BAGS-Clutch Bags-Virtus Quilted Evening Bag-blue
10836,VERSACE\WOMEN\BAGS\Top Handle\Icon Hanbag\black\image_4.jpg,VERSACE-WOMEN-BAGS-Top Handle-Icon Hanbag-black
10191,VERSACE\MEN\SHOES\Squalo Trainers\Squalo Knit Trainers\blue\image_4.jpg,VERSACE-MEN-SHOES-Squalo Trainers-Squalo Knit Trainers-blue
11715,YSL\YSL\CHAUSSURES\Bottes et bottines\THEO CHELSEA BOOTS EN CUIR LISSE\NOIR\image_0.jpg,YSL-YSL-CHAUSSURES-Bottes et bottines-THEO CHELSEA BOOTS EN CUIR LISSE-NOIR
12525,YSL\YSL\SACS\KATE\KATE 99 à pompon en agneau\NOIR\image_3.jpg,YSL-YSL-SACS-KATE-KATE 99 à pompon en agneau-NOIR
10697,VERSACE\WOMEN\BAGS\Shoulder Bags\Virtus Large Saddle Bag\brown 2\90_DBFH316-D5VIT_K2HOT_28_VirtusLargeSaddleBag-ShoulderBags-versace-online-store_0_1.jpg,VERSACE-WOMEN-BAGS-Shoulder Bags-Virtus Large Saddle Bag-brown 2
11208,VERSACE\WOMEN\SHOES\Sandals\Medusa Antheia Mid-Heel Mules\print\image_3.jpg,VERSACE-WOMEN-SHOES-Sandals-Medusa Antheia Mid-Heel Mules-print
2496,Chanel\Bag (v.2)\Gabrielle Chanel\Hobo bag\Black\133298-20.jpg,Chanel-Bag (v.2)-Gabrielle Chanel-Hobo bag-Black
2630,Chanel\Bag (v.2)\Gabrielle Chanel\Small Hobo bag\Blue jean\chanel-s-gabrielle-small-hobo-bag-blue-denim-calfskin-gold-tone-silver-tone-ruthenium-finish-metal-denim-calfskin-gold-tone-silver-tone-ruthenium-finish-metal-packshot-alternative-as0865b02941n6922-8824928731166.jpg,Chanel-Bag (v.2)-Gabrielle Chanel-Small Hobo bag-Blue jean
679,Burberry_men\MEN\SHOES\Sneakers\Leather and Mesh Union Sneakers\NAVY\image_1.jpg,Burberry_men-MEN-SHOES-Sneakers-Leather and Mesh Union Sneakers-NAVY
11275,VERSACE\WOMEN\SHOES\Sliders\Virtus Flat Sandals\black\image_1.jpg,VERSACE-WOMEN-SHOES-Sliders-Virtus Flat Sandals-black
3826,CHANEL WATCHES\__MACOSX\CHANEL WATCHES\Boyfriend\Boyfriend tweed\._2-117-01-0003_2 (1).jpg,CHANEL WATCHES-__MACOSX-CHANEL WATCHES-Boyfriend-Boyfriend tweed
1219,Chanel\Bag (v.2)\Boy handbag\medium boy handbag\Navy Blue velvet\boy-chanel-handbag-navy-blue-velvet-gold-tone-metal-velvet-gold-tone-metal-packshot-default-a67086b02302n5969-8823075242014.jpg,Chanel-Bag (v.2)-Boy handbag-medium boy handbag-Navy Blue velvet
9182,Givenchy\WOMEN\SHOES\BOOTS\CHELSEA BOOTS IN LEATHER WITH CHAIN\Black\BE601TE0J6001-02-01.jpg,Givenchy-WOMEN-SHOES-BOOTS-CHELSEA BOOTS IN LEATHER WITH CHAIN-Black
6451,D_G\D&G\WOMEN\BAGS\Sicily 58 62\CALFSKIN HANDLE FOR LARGE SICILY 58 AND LARGE SICILY 62\ORANGE\image_-1.jpg,D_G-D&G-WOMEN-BAGS-Sicily 58 62-CALFSKIN HANDLE FOR LARGE SICILY 58 AND LARGE SICILY 62-ORANGE
2695,Chanel\Bag (v.2)\Shopping bag\Large shopping bag\Beige & Fuchsia\428.jpg,Chanel-Bag (v.2)-Shopping bag-Large shopping bag-Beige & Fuchsia
7260,D_G\D&G\WOMEN\SHOES\Rainbow Lace\SLIPPER IN TAORMINA LUREX LACE WITH CRYSTALS\GOLD\image_1.jpg,D_G-D&G-WOMEN-SHOES-Rainbow Lace-SLIPPER IN TAORMINA LUREX LACE WITH CRYSTALS-GOLD
13309,YSL\YSL\SACS\NIKI\Niki medium en cuir vintage froissé\NOIR\image_0.jpg,YSL-YSL-SACS-NIKI-Niki medium en cuir vintage froissé-NOIR
10351,VERSACE\MEN\SHOES\Trainers\Squalo Trainers\blue\image_5.jpg,VERSACE-MEN-SHOES-Trainers-Squalo Trainers-blue
12210,YSL\YSL\SACS\CASSANDRA\CASSANDRA medium top handle en cuir embossé grain de poudre\NOIR\image_0.jpg,YSL-YSL-SACS-CASSANDRA-CASSANDRA medium top handle en cuir embossé grain de poudre-NOIR
2288,Chanel\Bag (v.2)\Flap bag\Mini flap bag\sequins\mini-flap-bag-gray-silver-pink-sequins-glass-pearls-silver-tone-metal-sequins-glass-pearls-silver-tone-metal-packshot-default-a69900b02917n5451-8824096915486.jpg,Chanel-Bag (v.2)-Flap bag-Mini flap bag-sequins
150,Burberry_men\MEN\BAGS\Bum Bags\Horseferry Print Coated Canvas Brummell Bum Bag\Black\image_0.jpg,Burberry_men-MEN-BAGS-Bum Bags-Horseferry Print Coated Canvas Brummell Bum Bag-Black
12949,YSL\YSL\SACS\LOU\MINI LOU en raphia et cuir vintage\NOIR\image_0.jpg,YSL-YSL-SACS-LOU-MINI LOU en raphia et cuir vintage-NOIR
3147,CHANEL WATCHES\CHANEL WATCHES\Code coco\chanel01.jpg,CHANEL WATCHES-CHANEL WATCHES-Code coco
